id,type,address,number,postal_code,municipality,province,location,public,available,hours,coord_x,coord_y,Latitude AED,Longitude AED
10632.0,,Leuvensesteenweg,69.0,3290,Diest,Vlaams-Brabant,,y,,,51.000575,5.068525,51.0011604,5.068525
10633.0,,Borgerhoutsedijk,55.0,2400,Mol,Antwerpen,,y,,,51.1919,5.1166,51.1919,5.1166
10634.0,,Rue de la Croisière,48.0,6224,Baulet,Hainaut,,y,,,50.4729,4.5875,50.4729,4.5875
10635.0,,Avenue de la Sablière,1.0,1160,Bruxelles,Bruxelles-Brussel,,y,,,50.8167,4.4333,50.8167,4.4333
10636.0,,Rue de Lenglentier,,1000,Bruxelles,Bruxelles-Brussel,,y,,,50.8504,4.3488,50.8384347,4.3423084
10637.0,,Louisastraat,5.0,8400,Oostende,West-Vlaanderen,,y,,,51.20643333333334,2.9372666666666665,50.9985978,2.9372666666666665
10638.0,,Meulestraat,19.0,9520,Sint-Lievens-Houtem,Oost-Vlaanderen,,y,,,50.92424,3.87306,51.1699546,3.87306
10639.0,,Ernest-Blerotstraat,1.0,1070,Brussel,Bruxelles-Brussel,,y,,,50.8362,4.3145,50.8371805,4.3334897
10640.0,,Passage D Heuvy,6.0,5000,Namur,Namur,,y,,,50.46775,4.8896,50.4694336,4.856439
10641.0,,Sint-Truidersteenweg ,296.0,3500,Hasselt,Limburg,,y,,,50.915099999999995,5.32285,50.9070628,5.3173022
10642.0,,Sint-Truidersteenweg ,296.0,3500,Hasselt,Limburg,,y,,,50.915099999999995,5.32285,50.9070628,5.3173022
10643.0,Appareil fixe-Vast apparaat,Geleenlaan,34.0,3600,Genk,Limburg,"Gelijkvloers, in de gang van het kantoorgebouw.",Non-Nee,Non-Nee,Op weekdagen van 6 tot 18 uur.,50.965,5.5008,50.9169353,5.5166583
10644.0,,Neervelpsestraat,15.0,3870,Boutersem,Limburg,,y,,,50.75361538461539,5.299307692307693,50.8253725,5.299307692307693
10645.0,,Bochtlaan,,3600,Genk,Limburg,,y,,,50.965,5.5008,50.969689,5.5022823
